X=392, Y=171, Pressure=528, Time=2016-05-19-15-14-55:1104
X=392, Y=171, Pressure=718, Time=2016-05-19-15-14-55:1104
X=392, Y=171, Pressure=709, Time=2016-05-19-15-14-55:1104
X=392, Y=171, Pressure=787, Time=2016-05-19-15-14-55:1104
X=392, Y=171, Pressure=824, Time=2016-05-19-15-14-55:1104
X=392, Y=171, Pressure=871, Time=2016-05-19-15-14-55:1104
X=392, Y=171, Pressure=901, Time=2016-05-19-15-14-55:1104
X=391, Y=171, Pressure=1140, Time=2016-05-19-15-14-55:1104
X=391, Y=171, Pressure=1093, Time=2016-05-19-15-14-55:1260
X=391, Y=171, Pressure=1038, Time=2016-05-19-15-14-55:1260
X=392, Y=172, Pressure=1067, Time=2016-05-19-15-14-55:1260
X=392, Y=173, Pressure=1200, Time=2016-05-19-15-14-55:1416
X=393, Y=174, Pressure=1038, Time=2016-05-19-15-14-55:1416
X=393, Y=175, Pressure=1104, Time=2016-05-19-15-14-55:1416
X=395, Y=176, Pressure=1130, Time=2016-05-19-15-14-55:1572
X=396, Y=178, Pressure=1100, Time=2016-05-19-15-14-55:1572
X=397, Y=179, Pressure=1142, Time=2016-05-19-15-14-55:1572
X=398, Y=181, Pressure=1112, Time=2016-05-19-15-14-55:1728
X=399, Y=182, Pressure=1110, Time=2016-05-19-15-14-55:1728
X=400, Y=184, Pressure=1083, Time=2016-05-19-15-14-55:1728
X=401, Y=186, Pressure=1081, Time=2016-05-19-15-14-55:1884
X=402, Y=187, Pressure=1032, Time=2016-05-19-15-14-55:1884
X=403, Y=188, Pressure=1006, Time=2016-05-19-15-14-55:1884
X=404, Y=190, Pressure=975, Time=2016-05-19-15-14-55:1884
X=405, Y=191, Pressure=924, Time=2016-05-19-15-14-55:2040
X=406, Y=192, Pressure=865, Time=2016-05-19-15-14-55:2040
X=407, Y=193, Pressure=795, Time=2016-05-19-15-14-55:2040
X=408, Y=194, Pressure=677, Time=2016-05-19-15-14-55:2196
X=408, Y=195, Pressure=564, Time=2016-05-19-15-14-55:2196
X=409, Y=195, Pressure=323, Time=2016-05-19-15-14-55:2196
X=409, Y=196, Pressure=262, Time=2016-05-19-15-14-55:2352
X=409, Y=197, Pressure=211, Time=2016-05-19-15-14-55:2352
X=410, Y=198, Pressure=148, Time=2016-05-19-15-14-55:2352
X=388, Y=210, Pressure=560, Time=2016-05-19-15-14-55:3756
X=388, Y=210, Pressure=646, Time=2016-05-19-15-14-55:3756
X=388, Y=210, Pressure=671, Time=2016-05-19-15-14-55:3756
X=387, Y=210, Pressure=797, Time=2016-05-19-15-14-55:3756
X=387, Y=210, Pressure=820, Time=2016-05-19-15-14-55:3756
X=387, Y=211, Pressure=861, Time=2016-05-19-15-14-55:3756
X=387, Y=211, Pressure=910, Time=2016-05-19-15-14-55:3756
X=386, Y=211, Pressure=952, Time=2016-05-19-15-14-55:3756
X=386, Y=212, Pressure=1036, Time=2016-05-19-15-14-55:3756
X=386, Y=212, Pressure=1202, Time=2016-05-19-15-14-55:3912
X=386, Y=212, Pressure=1071, Time=2016-05-19-15-14-55:3912
X=386, Y=214, Pressure=1089, Time=2016-05-19-15-14-55:3912
X=387, Y=214, Pressure=1259, Time=2016-05-19-15-14-55:4068
X=387, Y=215, Pressure=1114, Time=2016-05-19-15-14-55:4068
X=388, Y=217, Pressure=1185, Time=2016-05-19-15-14-55:4068
X=389, Y=219, Pressure=1228, Time=2016-05-19-15-14-55:4224
X=390, Y=220, Pressure=1185, Time=2016-05-19-15-14-55:4224
X=391, Y=222, Pressure=1192, Time=2016-05-19-15-14-55:4224
X=392, Y=223, Pressure=1181, Time=2016-05-19-15-14-55:4380
X=392, Y=224, Pressure=1181, Time=2016-05-19-15-14-55:4380
X=394, Y=226, Pressure=1165, Time=2016-05-19-15-14-55:4380
X=396, Y=228, Pressure=1161, Time=2016-05-19-15-14-55:4536
X=397, Y=229, Pressure=1161, Time=2016-05-19-15-14-55:4536
X=399, Y=230, Pressure=1147, Time=2016-05-19-15-14-55:4536
X=401, Y=232, Pressure=1095, Time=2016-05-19-15-14-55:4536
X=402, Y=233, Pressure=1030, Time=2016-05-19-15-14-55:4692
X=403, Y=234, Pressure=940, Time=2016-05-19-15-14-55:4692
X=405, Y=235, Pressure=891, Time=2016-05-19-15-14-55:4848
X=405, Y=236, Pressure=842, Time=2016-05-19-15-14-55:4848
X=407, Y=238, Pressure=709, Time=2016-05-19-15-14-55:4848
X=408, Y=239, Pressure=701, Time=2016-05-19-15-14-55:4848
X=394, Y=274, Pressure=716, Time=2016-05-19-15-14-55:6408
X=394, Y=274, Pressure=707, Time=2016-05-19-15-14-55:6408
X=394, Y=274, Pressure=705, Time=2016-05-19-15-14-55:6408
X=394, Y=274, Pressure=697, Time=2016-05-19-15-14-55:6408
X=394, Y=274, Pressure=740, Time=2016-05-19-15-14-55:6408
X=394, Y=274, Pressure=869, Time=2016-05-19-15-14-55:6408
X=394, Y=274, Pressure=897, Time=2016-05-19-15-14-55:6408
X=394, Y=274, Pressure=1065, Time=2016-05-19-15-14-55:6564
X=395, Y=274, Pressure=901, Time=2016-05-19-15-14-55:6564
X=396, Y=273, Pressure=826, Time=2016-05-19-15-14-55:6564
X=397, Y=271, Pressure=899, Time=2016-05-19-15-14-55:6720
X=399, Y=269, Pressure=926, Time=2016-05-19-15-14-55:6720
X=400, Y=268, Pressure=914, Time=2016-05-19-15-14-55:6720
X=402, Y=266, Pressure=963, Time=2016-05-19-15-14-55:6876
X=403, Y=264, Pressure=895, Time=2016-05-19-15-14-55:6876
X=405, Y=262, Pressure=859, Time=2016-05-19-15-14-55:6876
X=407, Y=260, Pressure=838, Time=2016-05-19-15-14-55:7032
X=408, Y=258, Pressure=728, Time=2016-05-19-15-14-55:7032
X=410, Y=257, Pressure=669, Time=2016-05-19-15-14-55:7032
X=411, Y=255, Pressure=564, Time=2016-05-19-15-14-55:7188
X=413, Y=253, Pressure=440, Time=2016-05-19-15-14-55:7188
X=428, Y=205, Pressure=609, Time=2016-05-19-15-14-55:8592
X=428, Y=204, Pressure=650, Time=2016-05-19-15-14-55:8592
X=428, Y=204, Pressure=724, Time=2016-05-19-15-14-55:8592
X=428, Y=203, Pressure=908, Time=2016-05-19-15-14-55:8592
X=428, Y=203, Pressure=887, Time=2016-05-19-15-14-55:8592
X=428, Y=202, Pressure=873, Time=2016-05-19-15-14-55:8592
X=428, Y=201, Pressure=893, Time=2016-05-19-15-14-55:8748
X=428, Y=201, Pressure=952, Time=2016-05-19-15-14-55:8748
X=428, Y=201, Pressure=928, Time=2016-05-19-15-14-55:8748
X=427, Y=200, Pressure=912, Time=2016-05-19-15-14-55:8904
X=427, Y=200, Pressure=1069, Time=2016-05-19-15-14-55:8904
X=427, Y=200, Pressure=1085, Time=2016-05-19-15-14-55:8904
X=427, Y=201, Pressure=991, Time=2016-05-19-15-14-55:8904
X=427, Y=202, Pressure=1032, Time=2016-05-19-15-14-55:9060
X=426, Y=203, Pressure=993, Time=2016-05-19-15-14-55:9060
X=426, Y=205, Pressure=975, Time=2016-05-19-15-14-55:9060
X=426, Y=208, Pressure=965, Time=2016-05-19-15-14-55:9216
